"Target","Result","Left","Right","Condition","Regex","Explanation","Date","LangueDepart","LangueDestination"
"ˈuo","ˈue","","{C?̬?r?V,#}","","","open syllable ˈuo>ˈue","1100","latin phonétique","français"
"ei̯","ɔi̯","ˈ?","","","","ei̯>ɔi̯","1100","latin phonétique","français"
"ˈeu̯","ˈøu̯","","{C?̬?r?V,#}","","","open syllable ˈeu̯>ˈøu̯","1100","latin phonétique","français"
"ai̯","ɛi̯","","","","","ai̯ >ɛi̯","1100","latin phonétique","français"
"e","ɛ","#C","C C","","","e>ɛ initial unaccentuated not free syllable","1100","latin phonétique","français"
"ˈãĩ̯","ˈẽĩ̯","","","","","ˈãĩ̯ > ˈẽĩ̯","1100","latin phonétique","français"
"ˈãĩ̯","ˈẽĩ̯","","","","","ˈãĩ̯ > ˈẽĩ̯","1100","latin phonétique","français"
"ˈoũ̯","ˈõ","","N","","","ˈoũ̯ > ˈõ","1100","latin phonétique","français"
"ˈoĩ̯","ˈõĩ̯","","","","","ˈõĩ̯> ˈõĩ̯","1100","latin phonétique","français"
"e","œ","","u̯C","","","eu̯ before consonant > œu̯","1100","latin phonétique","français"
"({o,ɔ})u̯","u","","C","","","ou̯ or ɔu̯ before consonant > u","1100","latin phonétique","français"
"ˈɔ","ˈo","","sC","","","accentuated ɔ before s+consonant> o","1110","latin phonétique","français"
"ɛi̯","ɛ","","","","","ɛi̯ > ɛ","1110","latin phonétique","français"
"C_SANS_BTD","","C","C","","","central of 3 consonants out","1110","latin phonétique","français"
"ˈue","ˈyø","","{C?̬?r?V,#}","","","open syllable ˈue>ˈyø","1150","latin phonétique","français"
"ɔi̯","ue","ˈ?","","","","ɔi̯>ue","1150","latin phonétique","français"
"o","u","#C","!{̃}","","","o>u initial unaccentuated syllable","1150","latin phonétique","français"
"o","õ","","N","","","o+n,m > õ","1150","latin phonétique","français"
"ˈiẽ","jˈẽ","","N","","","ˈiẽ > jˈẽ","1150","latin phonétique","français"
"yˈẽ","ɥˈẽ","","N","","","yˈẽ > ɥˈẽ","1150","latin phonétique","français"
"ˈõĩ̯","ˈũẽ","","","","","ˈõĩ̯> ˈũẽ","1150","latin phonétique","français"
"u̯","","œ","C","","","œu̯ before consonant > œ","1150","latin phonétique","français"
"ˈɛau̯","ɛˈau̯","","C","","","ˈɛau̯ before consonant > ɛˈau̯","1150","latin phonétique","français"
"t","","C","#","","","final t after consonant>zero","1150","latin phonétique","français"
"s","","","{p,t,k,f}","","","disparition of s before mute consonants","1150","latin phonétique","français"
"ɥˈẽ","ɥˈɛ̃","","N","","","ɥˈẽ > ɥˈɛ̃","1160","latin phonétique","français"
"ɛˈau̯","əˈau̯","","C","","","ɛˈau̯ before consonant > əˈau̯","1160","latin phonétique","français"
"ˈũẽ","wˈẽ","","","","","ˈũẽ> wˈẽ","1170","latin phonétique","français"
"s","","!t","#","","","final s>zero, final ts preserved","1170","latin phonétique","français"
"C_SANS_R","","V C C? V","#","","","final consonant other than r>zero except monosyllabic","1190","latin phonétique","français"
"ˈie","ˈje","","{C?̬?r?V,#}","","","open syllable ie>je","1200","latin phonétique","français"
"ˈyø","ˈø","","{C?̬?r?V,#}","","","open syllable ˈyø>ˈø","1200","latin phonétique","français"
"ˈøu̯","ˈø","","{C?̬?r?V,#}","","","open syllable ˈøu̯>ˈø","1200","latin phonétique","français"
"yˈi̯","ɥˈi","","C","","","yˈi̯>ɥˈi","1200","latin phonétique","français"
"õ","ɔ̃","","","","","õ > ɔ̃","1200","latin phonétique","français"
"i","ĩ","","N!V","","","i+n,m closed syllable> ĩ","1200","latin phonétique","français"
"y","ỹ","","N!V","","","y+n,m closed syllable> ỹ","1200","latin phonétique","français"
"ˈẽĩ̯","ˈẽ","","","","","ˈẽĩ̯ > ˈẽ","1200","latin phonétique","français"
"ˈẽĩ̯","ˈẽ","","","","","ˈẽĩ̯ > ˈẽ","1200","latin phonétique","français"
"õ","ɔ̃","","","","","õ > ɔ̃","1200","latin phonétique","français"
"wˈẽ","wˈɛ̃","","","","","wˈẽ> wˈɛ̃","1200","latin phonétique","français"
"ts","s","","#","","","ts>s final","1200","latin phonétique","français"
"ts","s","","","","","ts > s","1200","latin phonétique","français"
"ts","s","wcpbtdkgmnfvszljrʀδŋçθx","","","","ts > s after consonants","1200","latin phonétique","français"
"i̬dz","i̬z","aeouiyɛɔə","aeouiyɛɔə","","","intervocalic i̬dz >i̬z","1200","latin phonétique","français"
"dʒ","ʒ","","","","","dʒ > ʒ","1200","latin phonétique","français"
"tʃ","ʃ","","","","","tʃ > ʃ","1200","latin phonétique","français"
"","w\1e","","","","(ˈ?)ue","ue>we","1200","latin phonétique","français"
"e","a","wˈ?","","","","we>wa","1250","latin phonétique","français"
"ə","","#C","ˈ?V","","","ə in hiatus initial unaccentuated syllable>zero","1300","latin phonétique","français"
"ĩ","ẽ","","","","","ĩ > ẽ","1300","latin phonétique","français"
"ỹ","œ̃","","","","","ỹ > œ̃","1300","latin phonétique","français"
"au̯","ao","","","","","au̯ > ao","1300","latin phonétique","français"
"ˈau̯","ˈao","","","","","ˈau̯ > ˈao","1300","latin phonétique","français"
"r","","V C C? V","#","","","final r>zero except monosyllabic","1300","latin phonétique","français"
"ə","œ","","#","","","final ə>œ","1400","latin phonétique","français"
"ˈẽ","ˈɛ̃","","","","","ˈẽ > ˈɛ̃","1500","latin phonétique","français"
"ˈẽ","ˈɛ̃","","","","","ˈẽ > ˈɛ̃","1500","latin phonétique","français"
"jẽ","jɛ̃","","","","","jẽ > jɛ̃","1500","latin phonétique","français"
"ao","o","","","","","ao > o","1500","latin phonétique","français"
"ˈao","ˈo","","","","","ˈao > ˈo","1500","latin phonétique","français"
"C_SANS_R","","V C C? V","#","","","final consonant other than r>zero except monosyllabic","1510","latin phonétique","français"
"N(̬)?","","̃","{C,#}","","","n or n̬ > zero after nasal on closed syllable","1550","latin phonétique","français"
"e","ɛ","","C","","","position law e>ɛ before consonant","1600","latin phonétique","français"
"ø","œ","","C","","","position law ø>œ before consonant","1600","latin phonétique","français"
"œ","","","#","","","final œ>zero","1600","latin phonétique","français"
"ɑ̃","a","","N V","","","open syllable ɑ̃ > a","1600","latin phonétique","français"
"ˈɛ̃","ˈɛ","","Nr?aeouiyɛɔə","","","ˈɛ̃ + non final n,m  > ˈɛ","1600","latin phonétique","français"
"ˈɛ̃","ˈɛ","","Nr?aeouiyɛɔə","","","ˈɛ̃ + non final n,m  > ˈɛ","1600","latin phonétique","français"
"ɔ̃","ɔ","","Nr?aeouiyɛɔə","","","open syllable ɔ̃  > ɔ","1600","latin phonétique","français"
"r","ʀ","","","","","r > ʀ","1600","latin phonétique","français"
"","j\1ɛ","","","","j(ˈ?)ɛ̃(?=[nm]r?[aeouiyɛɔə])","open syllable jɛ̃  > jɛ","1600","latin phonétique","français"
"e","ɛ","","C","","","position law e>ɛ before consonant","1700","latin phonétique","français"
"l̬","j","","","","","l̬ > j","1700","latin phonétique","français"
