"Pattern","Replacement","Explanation","Date"
"*gw","δ (d)","grec ancien, avant palatale","-inf"
"*gw","γ (g)","grec ancien, entre u- -u","-inf"
"*gw","v","latin","-inf"
"*gw","gu","latin, après n","-inf"
"*gw","b","osque","-inf"
"*gw","b","gallois","-inf"
"*gw","-f-","gallois","-inf"
"*gw","Ø/f","gallois, avant sonante","-inf"
"*gw","b","gaulois","-inf"
"*gw","b/p","gaulois, après r, l","-inf"
"*gw","b/m","gaulois, avant sonante","-inf"
"*gw","b","vieil irlandais","-inf"
"*gw","Ø/b/m","vieil irlandais, avant sonante","-inf"
"*gw","q","gotique","-inf"
"*gw","k(v)","norrois","-inf"
"*gw","qw","vieux haut allemand","-inf"
"*gw","w","vieux haut allemand","-inf"
"*gw","cw","anglo-saxon","-inf"
"*gw","c","anglo-saxon, avant u","-inf"
"*gw","g","albanais","-inf"
"*gw","z","albanais, avant palatale","-inf"
"*gw","gj","albanais, avant palatale","-inf"
"*gw","k...c","arménien classique","-inf"
"*gw","g","lituanien","-inf"
"*gw","g","letton","-inf"
"*gw","dz","letton, avant palatale","-inf"
"*gw","g","vieux-slave","-inf"
"*gw","dž/ž","vieux-slave, avant palatale","-inf"
"*gw","dz","vieux-slave, avant palatale","-inf"
"*gw","g...gh","avestique","-inf"
"*gw","j","avestique, avant palatale","-inf"
"*gw","g","sanskrit","-inf"
"*gw","j","sanskrit, avant palatale","-inf"
"*gw","k(u)","tokharien","-inf"
"*gw","ś","tokharien, avant palatale","-inf"
"*gw","ku","hittite","-inf"
"*gwʰ","φ (ph)","grec ancien","-inf"
"*gwʰ","θ (th)","grec ancien, avant palatale","-inf"
"*gwʰ","χ (kh)","grec ancien, entre u- -u","-inf"
"*gwʰ","f-","latin","-inf"
"*gwʰ","-v-","latin","-inf"
"*gwʰ","-g-","latin","-inf"
"*gwʰ","gu","latin, après n","-inf"
"*gwʰ","f","osque","-inf"
"*gwʰ","gw-","gallois","-inf"
"*gwʰ","-w-","gallois","-inf"
"*gwʰ","v/w","gallois, après r, l","-inf"
"*gwʰ","g","gallois, avant r, l","-inf"
"*gwʰ","-w","gallois","-inf"
"*gwʰ","v","gaulois","-inf"
"*gwʰ","g","vieil irlandais","-inf"
"*gwʰ","g-","gotique","-inf"
"*gwʰ","-w-","gotique","-inf"
"*gwʰ","g","gotique","-inf"
"*gwʰ","gw","gotique, après n","-inf"
"*gwʰ","g(v)","norrois","-inf"
"*gwʰ","-v-","norrois","-inf"
"*gwʰ","g","vieux haut allemand","-inf"
"*gwʰ","-w-","vieux haut allemand","-inf"
"*gwʰ","b-","anglo-saxon","-inf"
"*gwʰ","-w-","anglo-saxon","-inf"
"*gwʰ","g","anglo-saxon","-inf"
"*gwʰ","g","albanais","-inf"
"*gwʰ","z","albanais, avant palatale","-inf"
"*gwʰ","gj","albanais, avant palatale","-inf"
"*gwʰ","g","arménien classique","-inf"
"*gwʰ","ĵ","arménien classique, avant palatale","-inf"
"*gwʰ","g","lituanien","-inf"
"*gwʰ","g","letton","-inf"
"*gwʰ","dz","letton, avant palatale","-inf"
"*gwʰ","g","vieux-slave","-inf"
"*gwʰ","dž/ž","vieux-slave, avant palatale","-inf"
"*gwʰ","dz","vieux-slave, avant palatale","-inf"
"*gwʰ","g...gh","avestique","-inf"
"*gwʰ","j","avestique, avant palatale","-inf"
"*gwʰ","gh","sanskrit","-inf"
"*gwʰ","j","sanskrit, avant palatale","-inf"
"*gwʰ","k(u)","tokharien","-inf"
